Date,TOTAL_PREDIC
01/10/2021,3234000.04
01/11/2021,3278857.865
01/12/2021,3161782.286
01/01/2022,3085439.8
01/02/2022,3158994.526
01/03/2022,3130609.704
01/04/2022,3132883.379
01/05/2022,2998361.648
01/06/2022,2893162.15
01/07/2022,2886496.624
01/08/2022,2917191.801
01/09/2022,2979113.772
01/10/2022,2982603.411
01/11/2022,2929213
